filename,semantic_label,partition,numeric_label,task
05715.png,,challenge,,target
00495_aug_0.png,hofburg_imperial_palace,train,1,target
02044.png,,challenge,,target
06714_aug_0.png,pantheon,train,0,target
05395.png,,challenge,,target
04804_aug_0.png,pantheon,train,0,target
02905_aug_0.png,hofburg_imperial_palace,train,1,target
09925_aug_0.png,hofburg_imperial_palace,train,1,target
06824_aug_0.png,pantheon,train,0,target
09695.png,hofburg_imperial_palace,val,1,target
08655_aug_0.png,hofburg_imperial_palace,train,1,target
05224_aug_0.png,pantheon,train,0,target
02875_aug_0.png,hofburg_imperial_palace,train,1,target
06425_aug_0.png,hofburg_imperial_palace,train,1,target
03774_aug_0.png,pantheon,train,0,target
06255_aug_0.png,hofburg_imperial_palace,train,1,target
01474.png,,challenge,,target
01254_aug_0.png,pantheon,train,0,target
10602.png,pantheon,test,0,target
01105_aug_0.png,hofburg_imperial_palace,train,1,target
09245.png,hofburg_imperial_palace,test,1,target
02684.png,pantheon,val,0,target
08135.png,hofburg_imperial_palace,val,1,target
01104.png,,challenge,,target
07435.png,,challenge,,target
01975.png,hofburg_imperial_palace,val,1,target
05195_aug_0.png,hofburg_imperial_palace,train,1,target
06285.png,hofburg_imperial_palace,val,1,target
00965.png,,challenge,,target
01814_aug_0.png,pantheon,train,0,target
02785.png,,challenge,,target
05235.png,,challenge,,target
07315.png,hofburg_imperial_palace,test,1,target
01025.png,hofburg_imperial_palace,val,1,target
02775_aug_0.png,hofburg_imperial_palace,train,1,target
05554.png,,challenge,,target
07345.png,,challenge,,target
01185.png,,challenge,,target
06945.png,,challenge,,target
00944.png,pantheon,val,0,target
11210_aug_0.png,pantheon,train,0,target
09185.png,,challenge,,target
01265.png,hofburg_imperial_palace,val,1,target
04435_aug_0.png,hofburg_imperial_palace,train,1,target
03035_aug_0.png,hofburg_imperial_palace,train,1,target
03235.png,,challenge,,target
01804_aug_0.png,pantheon,train,0,target
10017.png,pantheon,val,0,target
07385.png,,challenge,,target
00135_aug_0.png,hofburg_imperial_palace,train,1,target
10216_aug_0.png,pantheon,train,0,target
06374_aug_0.png,pantheon,train,0,target
05515.png,hofburg_imperial_palace,val,1,target
01954_aug_0.png,pantheon,train,0,target
01854.png,pantheon,test,0,target
06665_aug_0.png,hofburg_imperial_palace,train,1,target
00074.png,,challenge,,target
03835.png,hofburg_imperial_palace,test,1,target
05085.png,hofburg_imperial_palace,val,1,target
07945.png,,challenge,,target
06435.png,,challenge,,target
05675.png,,challenge,,target
05004.png,pantheon,val,0,target
01875_aug_0.png,hofburg_imperial_palace,train,1,target
09515.png,,challenge,,target
09675.png,hofburg_imperial_palace,test,1,target
08754_aug_0.png,pantheon,train,0,target
09734.png,pantheon,val,0,target
01565_aug_0.png,hofburg_imperial_palace,train,1,target
12024.png,pantheon,test,0,target
08785_aug_0.png,hofburg_imperial_palace,train,1,target
07424.png,pantheon,val,0,target
06254_aug_0.png,pantheon,train,0,target
00865_aug_0.png,hofburg_imperial_palace,train,1,target
05074_aug_0.png,pantheon,train,0,target
08165_aug_0.png,hofburg_imperial_palace,train,1,target
00545.png,hofburg_imperial_palace,test,1,target
02065.png,,challenge,,target
02935.png,,challenge,,target
06115.png,hofburg_imperial_palace,val,1,target
11020.png,,challenge,,target
06215_aug_0.png,hofburg_imperial_palace,train,1,target
07545.png,,challenge,,target
07154.png,pantheon,val,0,target
01674_aug_0.png,pantheon,train,0,target
02405.png,,challenge,,target
08905_aug_0.png,hofburg_imperial_palace,train,1,target
10795.png,,challenge,,target
08795.png,,challenge,,target
11548_aug_0.png,pantheon,train,0,target
06965.png,,challenge,,target
11282.png,pantheon,test,0,target
04165.png,hofburg_imperial_palace,test,1,target
00625.png,,challenge,,target
01515_aug_0.png,hofburg_imperial_palace,train,1,target
03735.png,,challenge,,target
10451.png,,challenge,,target
03495.png,hofburg_imperial_palace,val,1,target
09045.png,hofburg_imperial_palace,val,1,target
12284_aug_0.png,pantheon,train,0,target
11196.png,pantheon,val,0,target
09895.png,hofburg_imperial_palace,test,1,target
03185.png,,challenge,,target
01145.png,,challenge,,target
08504_aug_0.png,pantheon,train,0,target
09334.png,pantheon,val,0,target
01064_aug_0.png,pantheon,train,0,target
02835_aug_0.png,hofburg_imperial_palace,train,1,target
03264.png,pantheon,val,0,target
07024_aug_0.png,pantheon,train,0,target
06724.png,pantheon,val,0,target
05935_aug_0.png,hofburg_imperial_palace,train,1,target
10854.png,,challenge,,target
01614.png,pantheon,val,0,target
04515_aug_0.png,hofburg_imperial_palace,train,1,target
09385_aug_0.png,hofburg_imperial_palace,train,1,target
03135_aug_0.png,hofburg_imperial_palace,train,1,target
05925_aug_0.png,hofburg_imperial_palace,train,1,target
07425_aug_0.png,hofburg_imperial_palace,train,1,target
00655.png,hofburg_imperial_palace,test,1,target
06305.png,,challenge,,target
04885_aug_0.png,hofburg_imperial_palace,train,1,target
09805_aug_0.png,hofburg_imperial_palace,train,1,target
00445.png,,challenge,,target
04225.png,hofburg_imperial_palace,val,1,target
02764_aug_0.png,pantheon,train,0,target
02995_aug_0.png,hofburg_imperial_palace,train,1,target
08405_aug_0.png,hofburg_imperial_palace,train,1,target
01444.png,pantheon,test,0,target
03515_aug_0.png,hofburg_imperial_palace,train,1,target
12241_aug_0.png,pantheon,train,0,target
04825.png,hofburg_imperial_palace,test,1,target
12191.png,pantheon,test,0,target
05035_aug_0.png,hofburg_imperial_palace,train,1,target
02944.png,pantheon,val,0,target
10028.png,pantheon,val,0,target
09705_aug_0.png,hofburg_imperial_palace,train,1,target
02994.png,,challenge,,target
04935.png,hofburg_imperial_palace,val,1,target
11248_aug_0.png,pantheon,train,0,target
10889_aug_0.png,pantheon,train,0,target
00945.png,hofburg_imperial_palace,val,1,target
04635_aug_0.png,hofburg_imperial_palace,train,1,target
01505.png,,challenge,,target
07145.png,hofburg_imperial_palace,test,1,target
01494_aug_0.png,pantheon,train,0,target
01435_aug_0.png,hofburg_imperial_palace,train,1,target
10588_aug_0.png,pantheon,train,0,target
01035.png,,challenge,,target
05835.png,,challenge,,target
06325_aug_0.png,hofburg_imperial_palace,train,1,target
08824_aug_0.png,pantheon,train,0,target
04544_aug_0.png,pantheon,train,0,target
06515_aug_0.png,hofburg_imperial_palace,train,1,target
05014_aug_0.png,pantheon,train,0,target
01905_aug_0.png,hofburg_imperial_palace,train,1,target
05934.png,pantheon,val,0,target
05654_aug_0.png,pantheon,train,0,target
11252.png,,challenge,,target
01584.png,pantheon,val,0,target
06675_aug_0.png,hofburg_imperial_palace,train,1,target
00164_aug_0.png,pantheon,train,0,target
03394.png,pantheon,test,0,target
03155_aug_0.png,hofburg_imperial_palace,train,1,target
00224_aug_0.png,pantheon,train,0,target
12141.png,,challenge,,target
01525.png,hofburg_imperial_palace,test,1,target
01925_aug_0.png,hofburg_imperial_palace,train,1,target
09825.png,,challenge,,target
12032.png,pantheon,val,0,target
03995.png,hofburg_imperial_palace,test,1,target
01044.png,,challenge,,target
01774_aug_0.png,pantheon,train,0,target
02894.png,pantheon,test,0,target
02184_aug_0.png,pantheon,train,0,target
07924_aug_0.png,pantheon,train,0,target
08095.png,,challenge,,target
04154.png,pantheon,val,0,target
04634_aug_0.png,pantheon,train,0,target
02755.png,hofburg_imperial_palace,test,1,target
01065_aug_0.png,hofburg_imperial_palace,train,1,target
08215_aug_0.png,hofburg_imperial_palace,train,1,target
04914_aug_0.png,pantheon,train,0,target
00044_aug_0.png,pantheon,train,0,target
09155_aug_0.png,hofburg_imperial_palace,train,1,target
07355_aug_0.png,hofburg_imperial_palace,train,1,target
01034.png,pantheon,val,0,target
10804.png,pantheon,test,0,target
09845.png,hofburg_imperial_palace,val,1,target
08274.png,,challenge,,target
10200.png,,challenge,,target
00755_aug_0.png,hofburg_imperial_palace,train,1,target
02765.png,,challenge,,target
03114.png,,challenge,,target
03984.png,,challenge,,target
07475.png,,challenge,,target
11748.png,,challenge,,target
02735_aug_0.png,hofburg_imperial_palace,train,1,target
03275.png,,challenge,,target
00784_aug_0.png,pantheon,train,0,target
04504_aug_0.png,pantheon,train,0,target
02425.png,,challenge,,target
08434.png,pantheon,val,0,target
06485.png,hofburg_imperial_palace,test,1,target
05924.png,,challenge,,target
00184.png,,challenge,,target
10558.png,pantheon,test,0,target
03324.png,pantheon,val,0,target
11847_aug_0.png,pantheon,train,0,target
09214_aug_0.png,pantheon,train,0,target
00704_aug_0.png,pantheon,train,0,target
04205_aug_0.png,hofburg_imperial_palace,train,1,target
03895.png,,challenge,,target
07304.png,,challenge,,target
08695.png,,challenge,,target
08615_aug_0.png,hofburg_imperial_palace,train,1,target
03665_aug_0.png,hofburg_imperial_palace,train,1,target
10673_aug_0.png,pantheon,train,0,target
00775_aug_0.png,hofburg_imperial_palace,train,1,target
03635.png,hofburg_imperial_palace,val,1,target
08594.png,pantheon,test,0,target
00155_aug_0.png,hofburg_imperial_palace,train,1,target
04024_aug_0.png,pantheon,train,0,target
03985.png,hofburg_imperial_palace,test,1,target
12390_aug_0.png,pantheon,train,0,target
09445_aug_0.png,hofburg_imperial_palace,train,1,target
05155.png,hofburg_imperial_palace,val,1,target
02214.png,,challenge,,target
02854.png,,challenge,,target
05194.png,pantheon,val,0,target
02585_aug_0.png,hofburg_imperial_palace,train,1,target
06055_aug_0.png,hofburg_imperial_palace,train,1,target
04564_aug_0.png,pantheon,train,0,target
01795.png,hofburg_imperial_palace,test,1,target
10545.png,,challenge,,target
02504_aug_0.png,pantheon,train,0,target
00285.png,,challenge,,target
06074_aug_0.png,pantheon,train,0,target
05265.png,hofburg_imperial_palace,test,1,target
00345_aug_0.png,hofburg_imperial_palace,train,1,target
05335.png,,challenge,,target
01865.png,hofburg_imperial_palace,val,1,target
06054.png,,challenge,,target
03864.png,pantheon,val,0,target
03494.png,pantheon,test,0,target
04604.png,pantheon,val,0,target
09654_aug_0.png,pantheon,train,0,target
06295.png,hofburg_imperial_palace,test,1,target
02844_aug_0.png,pantheon,train,0,target
01365.png,,challenge,,target
04785.png,,challenge,,target
03455_aug_0.png,hofburg_imperial_palace,train,1,target
05504_aug_0.png,pantheon,train,0,target
05174_aug_0.png,pantheon,train,0,target
03734.png,pantheon,val,0,target
11116.png,,challenge,,target
08525.png,,challenge,,target
06355_aug_0.png,hofburg_imperial_palace,train,1,target
01984_aug_0.png,pantheon,train,0,target
08455.png,,challenge,,target
04314.png,,challenge,,target
10730.png,pantheon,val,0,target
03445.png,,challenge,,target
07755.png,,challenge,,target
00735_aug_0.png,hofburg_imperial_palace,train,1,target
04675_aug_0.png,hofburg_imperial_palace,train,1,target
10459.png,pantheon,test,0,target
11478.png,pantheon,test,0,target
07855_aug_0.png,hofburg_imperial_palace,train,1,target
08245_aug_0.png,hofburg_imperial_palace,train,1,target
06944_aug_0.png,pantheon,train,0,target
12262_aug_0.png,pantheon,train,0,target
08334.png,pantheon,test,0,target
10503.png,pantheon,test,0,target
02074_aug_0.png,pantheon,train,0,target
06874.png,,challenge,,target
07524.png,pantheon,test,0,target
05785.png,,challenge,,target
04125.png,hofburg_imperial_palace,test,1,target
03604_aug_0.png,pantheon,train,0,target
10078.png,pantheon,test,0,target
11321.png,,challenge,,target
10439_aug_0.png,pantheon,train,0,target
03465.png,,challenge,,target
02395_aug_0.png,hofburg_imperial_palace,train,1,target
05834.png,,challenge,,target
05405_aug_0.png,hofburg_imperial_palace,train,1,target
11584.png,pantheon,val,0,target
07974.png,,challenge,,target
05555.png,hofburg_imperial_palace,test,1,target
08774.png,,challenge,,target
04195.png,hofburg_imperial_palace,val,1,target
03765_aug_0.png,hofburg_imperial_palace,train,1,target
05964.png,pantheon,val,0,target
12235_aug_0.png,pantheon,train,0,target
08134.png,,challenge,,target
11565.png,,challenge,,target
04774.png,,challenge,,target
04115.png,hofburg_imperial_palace,test,1,target
04525.png,hofburg_imperial_palace,val,1,target
01825_aug_0.png,hofburg_imperial_palace,train,1,target
07634.png,,challenge,,target
11511_aug_0.png,pantheon,train,0,target
09525.png,hofburg_imperial_palace,val,1,target
06815.png,,challenge,,target
12067_aug_0.png,pantheon,train,0,target
10043_aug_0.png,pantheon,train,0,target
08575.png,,challenge,,target
01215_aug_0.png,hofburg_imperial_palace,train,1,target
06695_aug_0.png,hofburg_imperial_palace,train,1,target
10370.png,pantheon,test,0,target
05864.png,,challenge,,target
08104.png,,challenge,,target
00435.png,hofburg_imperial_palace,test,1,target
05984_aug_0.png,pantheon,train,0,target
07844.png,,challenge,,target
06804_aug_0.png,pantheon,train,0,target
04064.png,,challenge,,target
04284_aug_0.png,pantheon,train,0,target
00905.png,,challenge,,target
08815.png,,challenge,,target
06225.png,,challenge,,target
09015_aug_0.png,hofburg_imperial_palace,train,1,target
09475.png,hofburg_imperial_palace,test,1,target
11203.png,pantheon,test,0,target
09855.png,hofburg_imperial_palace,test,1,target
06005.png,,challenge,,target
01425_aug_0.png,hofburg_imperial_palace,train,1,target
05015.png,hofburg_imperial_palace,test,1,target
08164_aug_0.png,pantheon,train,0,target
05995.png,,challenge,,target
12078_aug_0.png,pantheon,train,0,target
03175_aug_0.png,hofburg_imperial_palace,train,1,target
01775_aug_0.png,hofburg_imperial_palace,train,1,target
05255.png,hofburg_imperial_palace,test,1,target
08144.png,,challenge,,target
05475_aug_0.png,hofburg_imperial_palace,train,1,target
05525_aug_0.png,hofburg_imperial_palace,train,1,target
07444_aug_0.png,pantheon,train,0,target
06345_aug_0.png,hofburg_imperial_palace,train,1,target
01415.png,,challenge,,target
10811.png,,challenge,,target
03364.png,pantheon,val,0,target
04285_aug_0.png,hofburg_imperial_palace,train,1,target
06875.png,hofburg_imperial_palace,val,1,target
02744_aug_0.png,pantheon,train,0,target
09794.png,pantheon,test,0,target
01604_aug_0.png,pantheon,train,0,target
06624.png,pantheon,val,0,target
07185.png,hofburg_imperial_palace,val,1,target
11085.png,pantheon,test,0,target
01325_aug_0.png,hofburg_imperial_palace,train,1,target
11180_aug_0.png,pantheon,train,0,target
04105.png,,challenge,,target
02535_aug_0.png,hofburg_imperial_palace,train,1,target
02715_aug_0.png,hofburg_imperial_palace,train,1,target
11386.png,,challenge,,target
03365.png,hofburg_imperial_palace,val,1,target
09574_aug_0.png,pantheon,train,0,target
01464.png,,challenge,,target
04104_aug_0.png,pantheon,train,0,target
01645.png,,challenge,,target
02324_aug_0.png,pantheon,train,0,target
10331.png,pantheon,val,0,target
07205.png,,challenge,,target
11046_aug_0.png,pantheon,train,0,target
04955.png,hofburg_imperial_palace,val,1,target
08395.png,,challenge,,target
00794.png,,challenge,,target
09775_aug_0.png,hofburg_imperial_palace,train,1,target
07104_aug_0.png,pantheon,train,0,target
05454.png,,challenge,,target
04794_aug_0.png,pantheon,train,0,target
09055_aug_0.png,hofburg_imperial_palace,train,1,target
04095_aug_0.png,hofburg_imperial_palace,train,1,target
05794_aug_0.png,pantheon,train,0,target
11043.png,pantheon,val,0,target
08224_aug_0.png,pantheon,train,0,target
00265.png,,challenge,,target
09154.png,pantheon,test,0,target
00884.png,,challenge,,target
11363.png,,challenge,,target
07095_aug_0.png,hofburg_imperial_palace,train,1,target
11626.png,pantheon,val,0,target
06575_aug_0.png,hofburg_imperial_palace,train,1,target
03535_aug_0.png,hofburg_imperial_palace,train,1,target
03845_aug_0.png,hofburg_imperial_palace,train,1,target
03054.png,pantheon,val,0,target
04664_aug_0.png,pantheon,train,0,target
00035.png,,challenge,,target
04365.png,,challenge,,target
03955_aug_0.png,hofburg_imperial_palace,train,1,target
08925.png,,challenge,,target
10243.png,,challenge,,target
05674_aug_0.png,pantheon,train,0,target
05725_aug_0.png,hofburg_imperial_palace,train,1,target
00475.png,,challenge,,target
07484_aug_0.png,pantheon,train,0,target
09785_aug_0.png,hofburg_imperial_palace,train,1,target
04505_aug_0.png,hofburg_imperial_palace,train,1,target
11359_aug_0.png,pantheon,train,0,target
05204_aug_0.png,pantheon,train,0,target
07565.png,,challenge,,target
11574.png,pantheon,val,0,target
01794.png,,challenge,,target
05875.png,,challenge,,target
09215_aug_0.png,hofburg_imperial_palace,train,1,target
02295_aug_0.png,hofburg_imperial_palace,train,1,target
06775.png,hofburg_imperial_palace,val,1,target
02435.png,,challenge,,target
06495.png,,challenge,,target
09894_aug_0.png,pantheon,train,0,target
08064.png,pantheon,test,0,target
10085_aug_0.png,pantheon,train,0,target
11291.png,,challenge,,target
04844_aug_0.png,pantheon,train,0,target
05385.png,,challenge,,target
01654_aug_0.png,pantheon,train,0,target
03615.png,hofburg_imperial_palace,val,1,target
05294.png,,challenge,,target
08584_aug_0.png,pantheon,train,0,target
02644.png,,challenge,,target
04534_aug_0.png,pantheon,train,0,target
03554.png,,challenge,,target
02365_aug_0.png,hofburg_imperial_palace,train,1,target
05975.png,,challenge,,target
09814.png,pantheon,test,0,target
02095.png,,challenge,,target
06065.png,hofburg_imperial_palace,test,1,target
07644_aug_0.png,pantheon,train,0,target
07595_aug_0.png,hofburg_imperial_palace,train,1,target
07094.png,pantheon,test,0,target
08625.png,hofburg_imperial_palace,val,1,target
11558.png,pantheon,val,0,target
01114_aug_0.png,pantheon,train,0,target
01955_aug_0.png,hofburg_imperial_palace,train,1,target
03934_aug_0.png,pantheon,train,0,target
01615.png,,challenge,,target
06354.png,pantheon,test,0,target
00914_aug_0.png,pantheon,train,0,target
06084_aug_0.png,pantheon,train,0,target
11649.png,,challenge,,target
05054_aug_0.png,pantheon,train,0,target
05955.png,hofburg_imperial_palace,val,1,target
09965_aug_0.png,hofburg_imperial_palace,train,1,target
03524_aug_0.png,pantheon,train,0,target
11662.png,pantheon,val,0,target
03084.png,,challenge,,target
02564.png,pantheon,test,0,target
05474.png,pantheon,val,0,target
10942_aug_0.png,pantheon,train,0,target
04985_aug_0.png,hofburg_imperial_palace,train,1,target
03974_aug_0.png,pantheon,train,0,target
11054.png,,challenge,,target
10161.png,pantheon,val,0,target
08915_aug_0.png,hofburg_imperial_palace,train,1,target
04775_aug_0.png,hofburg_imperial_palace,train,1,target
03534_aug_0.png,pantheon,train,0,target
04704_aug_0.png,pantheon,train,0,target
05214_aug_0.png,pantheon,train,0,target
09325_aug_0.png,hofburg_imperial_palace,train,1,target
00844_aug_0.png,pantheon,train,0,target
00455.png,,challenge,,target
10922.png,pantheon,val,0,target
02565.png,,challenge,,target
03685_aug_0.png,hofburg_imperial_palace,train,1,target
05324.png,pantheon,test,0,target
05874_aug_0.png,pantheon,train,0,target
07725.png,hofburg_imperial_palace,val,1,target
12286_aug_0.png,pantheon,train,0,target
00744_aug_0.png,pantheon,train,0,target
05894_aug_0.png,pantheon,train,0,target
02125_aug_0.png,hofburg_imperial_palace,train,1,target
03055_aug_0.png,hofburg_imperial_palace,train,1,target
03914_aug_0.png,pantheon,train,0,target
11946.png,,challenge,,target
07895_aug_0.png,hofburg_imperial_palace,train,1,target
06104.png,pantheon,test,0,target
06094_aug_0.png,pantheon,train,0,target
00975_aug_0.png,hofburg_imperial_palace,train,1,target
07935_aug_0.png,hofburg_imperial_palace,train,1,target
10385.png,pantheon,val,0,target
07494_aug_0.png,pantheon,train,0,target
05494_aug_0.png,pantheon,train,0,target
08514_aug_0.png,pantheon,train,0,target
06554_aug_0.png,pantheon,train,0,target
09495_aug_0.png,hofburg_imperial_palace,train,1,target
06894.png,pantheon,val,0,target
04755_aug_0.png,hofburg_imperial_palace,train,1,target
04455_aug_0.png,hofburg_imperial_palace,train,1,target
01134_aug_0.png,pantheon,train,0,target
07485.png,hofburg_imperial_palace,test,1,target
07884.png,,challenge,,target
06715_aug_0.png,hofburg_imperial_palace,train,1,target
11105_aug_0.png,pantheon,train,0,target
10144.png,,challenge,,target
02204.png,,challenge,,target
09005.png,,challenge,,target
10840_aug_0.png,pantheon,train,0,target
08335_aug_0.png,hofburg_imperial_palace,train,1,target
01664.png,,challenge,,target
06615.png,hofburg_imperial_palace,val,1,target
03425.png,hofburg_imperial_palace,val,1,target
00925.png,,challenge,,target
01084.png,pantheon,test,0,target
10278_aug_0.png,pantheon,train,0,target
11017_aug_0.png,pantheon,train,0,target
07785.png,hofburg_imperial_palace,val,1,target
01294.png,pantheon,test,0,target
10390_aug_0.png,pantheon,train,0,target
02665.png,hofburg_imperial_palace,val,1,target
01305.png,,challenge,,target
02985.png,hofburg_imperial_palace,test,1,target
10729_aug_0.png,pantheon,train,0,target
06805.png,hofburg_imperial_palace,test,1,target
12007.png,,challenge,,target
02454.png,pantheon,test,0,target
03694.png,pantheon,test,0,target
06995.png,,challenge,,target
04245.png,,challenge,,target
03405.png,hofburg_imperial_palace,val,1,target
09435.png,,challenge,,target
01074_aug_0.png,pantheon,train,0,target
03805_aug_0.png,hofburg_imperial_palace,train,1,target
01245.png,hofburg_imperial_palace,val,1,target
09554_aug_0.png,pantheon,train,0,target
04685_aug_0.png,hofburg_imperial_palace,train,1,target
02304_aug_0.png,pantheon,train,0,target
03605.png,,challenge,,target
08865_aug_0.png,hofburg_imperial_palace,train,1,target
05684.png,,challenge,,target
10381_aug_0.png,pantheon,train,0,target
00985.png,hofburg_imperial_palace,test,1,target
09545_aug_0.png,hofburg_imperial_palace,train,1,target
11578_aug_0.png,pantheon,train,0,target
11133_aug_0.png,pantheon,train,0,target
12063.png,pantheon,val,0,target
09685.png,,challenge,,target
10678.png,,challenge,,target
00734.png,,challenge,,target
04234.png,pantheon,val,0,target
08895_aug_0.png,hofburg_imperial_palace,train,1,target
05985_aug_0.png,hofburg_imperial_palace,train,1,target
08065_aug_0.png,hofburg_imperial_palace,train,1,target
02105_aug_0.png,hofburg_imperial_palace,train,1,target
05285.png,,challenge,,target
03565_aug_0.png,hofburg_imperial_palace,train,1,target
02094.png,,challenge,,target
00694.png,,challenge,,target
06934_aug_0.png,pantheon,train,0,target
05764_aug_0.png,pantheon,train,0,target
02225.png,hofburg_imperial_palace,val,1,target
07114_aug_0.png,pantheon,train,0,target
00235.png,,challenge,,target
07215.png,,challenge,,target
08244.png,,challenge,,target
00765.png,hofburg_imperial_palace,val,1,target
00825_aug_0.png,hofburg_imperial_palace,train,1,target
00815.png,,challenge,,target
09425_aug_0.png,hofburg_imperial_palace,train,1,target
03555_aug_0.png,hofburg_imperial_palace,train,1,target
05905.png,hofburg_imperial_palace,test,1,target
04895.png,hofburg_imperial_palace,val,1,target
03414.png,,challenge,,target
02315_aug_0.png,hofburg_imperial_palace,train,1,target
01675_aug_0.png,hofburg_imperial_palace,train,1,target
09275_aug_0.png,hofburg_imperial_palace,train,1,target
00024.png,,challenge,,target
01455.png,hofburg_imperial_palace,test,1,target
10718.png,pantheon,val,0,target
11338.png,,challenge,,target
06444_aug_0.png,pantheon,train,0,target
06294.png,pantheon,test,0,target
08385.png,,challenge,,target
12129.png,,challenge,,target
07665_aug_0.png,hofburg_imperial_palace,train,1,target
06004_aug_0.png,pantheon,train,0,target
05854_aug_0.png,pantheon,train,0,target
12095_aug_0.png,pantheon,train,0,target
02774.png,,challenge,,target
01055_aug_0.png,hofburg_imperial_palace,train,1,target
09534.png,,challenge,,target
03925.png,,challenge,,target
